title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
Urvi,(2017),,151 min,"Crime, Drama, Thriller",6.8,Troubling circumstances bring forward three women who work together to plot their revenge against one common man who is responsible for destroying their lives.,"['B.S.Pradeep Varma', '| ', '    Stars:', 'Shweta Pandit, ', 'Sruthi Hariharan, ', 'Shraddha Srinath, ', 'Achyuth Kumar']",260,2597,2017,,7.0,,1.0,0,0,0,0,Pradeep Verma,"Crime,Drama,Thriller",India,Kannada,151.0,Crime
ReMastered: Massacre at the Stadium,(2019 TV Movie),TV-MA,64 min,"Documentary, Drama",7.2,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.","['B.J. Perlmutt, ', 'Bent-Jorgen Perlmutt', '| ', '    Stars:', 'Víctor Jara, ', 'Joan Jara, ', 'Pascale Bonnefoy, ', 'Joyce Horman']",802,2102,2019,,7.3,,1.0,0,0,0,0,"B.J. Perlmutt,Bent-Jorgen Perlmutt","Documentary,Drama",United States,"English,Spanish",64.0,Documentary
Çok Filim Hareketler Bunlar,(2010),,134 min,Comedy,4.4,Çok film hareketler bunlar They are a 2010 comedy movie where scenarios and acting are undertaken in BKM group.,"['Ozan Açiktan', '| ', '    Stars:', 'Gülsüm Alkan, ', 'Ibrahim Büyükak, ', 'Emre Canpolat, ', 'Murat Eken']","4,884",2600,2010,,4.3,,1.0,0,0,0,0,Ozan Açiktan,Comedy,Turkey,Turkish,134.0,Comedy
The Reconstruction of William Zero,(2014),Not Rated,98 min,"Drama, Mystery, Sci-Fi",5.4,"A geneticist wakes up from an accident with only fragments of his memory is forced to relearn who he is via his twin brother. But as he digs deeper, he discovers he might not be who he thought at all.","['Dan Bush', '| ', '    Stars:', 'Conal Byrne, ', 'Amy Seimetz, ', 'Scott Poythress, ', 'Lake Roberts']","1,188",8673,2015,,5.4,29%,0.0,0,1,0,0,Dan Bush,"Drama,Sci-Fi,Thriller",United States,English,98.0,Drama
Mike Birbiglia: Thank God for Jokes,(2017 TV Special),,70 min,Comedy,7.5,Mike Birbiglia tells stories about his life as a semi-famous comedian/filmmaker and reflects on the meaning of good or bad jokes.,"['Seth Barrish, ', 'Mike Birbiglia', '| ', '    Star:', 'Mike Birbiglia']","2,511",1361,2017,,7.5,,1.0,0,0,0,0,"Seth Barrish,Mike Birbiglia",Comedy,United States,English,70.0,Comedy
Deon Cole: Cole Hearted,(2019 TV Special),,69 min,Comedy,6.9,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp.""","['Ryan Polito', '| ', '    Star:', 'Deon Cole']",908,2090,2019,,6.9,,1.0,0,0,0,0,Ryan Polito,Comedy,United States,English,69.0,Comedy
Katherine Ryan: Glitter Room,(2019 TV Special),TV-MA,65 min,Comedy,6.8,"Canadian comic Katherine Ryan's stand-up special packed with anecdotes, jokes, and a pertinent take on society.","['Linda Mendoza', '| ', '    Star:', 'Katherine Ryan']","1,999",2849,2019,,6.0,,1.0,0,0,0,0,Linda Mendoza,Comedy,United States,English,65.0,Comedy
Stereo,(I) (2014),,98 min,"Crime, Thriller",6.5,"The appearance of a mysterious, hooded man evokes Erik's sinister past.","['Maximilian Erlenwein', '| ', '    Stars:', 'Jürgen Vogel, ', 'Moritz Bleibtreu, ', 'Petra Schmidt-Schaller, ', 'Georg Friedrich']","4,936",1896,2014,,6.6,,1.0,0,0,0,0,Maximilian Erlenwein,"Crime,Thriller",Germany,"German,Russian",98.0,Crime
Still Laugh-In: The Stars Celebrate,(2019 TV Special),TV-MA,60 min,"Comedy, Music",5.2,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.","['Lily Tomlin, ', 'Ruth Buzzi, ', 'Tiffany Haddish, ', 'Neil Patrick Harris']",601,2569,2019,,5.0,,1.0,0,0,0,0,,"Comedy,Music",United States,English,60.0,Comedy
Jonah,(2015),,90 min,"Drama, Romance, Thriller",5.3,"During Carnival in San Paulo, a young man and young woman who knew each other as children meet again after many years and social barriers have kept them apart. On the day of the festival, ...                See full summary »","['Lô Politi', '| ', '    Stars:', 'Jesuíta Barbosa, ', 'Laura Neiva, ', 'Criolo, ', 'Paulo Américo']",240,2670,2016,,5.3,,1.0,0,1,0,0,Lô Politi,"Drama,Romance,Thriller",Brazil,Portuguese,90.0,Drama
