title,rating,Runtime
Gun City,6.3,126.0
Svaha: The Sixth Finger,6.2,122.0
Perdida,5.6,149.0
Winter on Fire: Ukraine's Fight for Freedom,8.3,102.0
The Monkey King,8.1,119.0
Mersal,7.5,172.0
Lady J,6.8,109.0
Rebirth,4.9,100.0
Christmas Inheritance,5.7,104.0
Crash Pad,5.7,91.0
The World Is Yours,6.3,102.0
One Day,7.0,107.0
Pokémon: Mewtwo Strikes Back - Evolution,5.7,98.0
The Numbers Station,5.6,89.0
Invader ZIM: Enter the Florpus,7.4,71.0
High Flying Bird,6.2,90.0
Godspeed,6.5,94.0
Results,5.4,105.0
Blame!,6.6,106.0
Miss Americana,7.4,85.0
The Forest of Love,6.3,151.0
School Life,6.5,111.0
The Polka King,5.9,95.0
Twin Murders: The Silence of the White City,5.3,110.0
Wolf,8.0,125.0
Super Buddies,4.2,81.0
Jarhead 3: The Siege,5.1,95.0
Girlfriend's Day,5.2,65.0
Rattlesnake,4.6,85.0
Altered Carbon: Resleeved,6.5,74.0
White Fang,6.9,107.0
Jo Koy: Live from Seattle,7.3,62.0
Steel Rain,7.1,139.0
The Resistance Banker,6.9,123.0
NiNoKuni,6.1,106.0
Nappily Ever After,6.4,98.0
Animal World,6.4,30.0
The Maus,4.6,90.0
Flavors of Youth,6.6,74.0
Furie,6.3,134.0
Indiscretion,4.8,99.0
Illang: The Wolf Brigade,5.9,139.0
I Am Not an Easy Man,6.3,98.0
Walk. Ride. Rodeo.,6.4,100.0
Te3n,7.2,136.0
Amanda Knox,6.9,92.0
Swiped,3.1,93.0
Cowspiracy: The Sustainability Secret,8.1,90.0
Rising High,5.9,94.0
Intuition,5.5,116.0
Barry,5.9,30.0
See You Yesterday,5.2,84.0
The Big Combo,7.3,87.0
Win It All,6.2,88.0
Radio Rebel,5.8,85.0
Opening Night,6.0,144.0
St. Agatha,4.9,103.0
Happy Anniversary,5.7,78.0
Shanghai Fortress,4.4,107.0
The Breaker Upperers,5.9,90.0
Kahaani,8.1,122.0
They Call Me Jeeg,7.0,112.0
Walt Before Mickey,5.9,107.0
Soaked in Bleach,7.3,90.0
Mercy Black,4.9,88.0
Pottersville,5.4,84.0
The Black Room,3.4,91.0
Setup,4.4,85.0
Monogamy,6.4,30.0
Olaf's Frozen Adventure,5.6,22.0
Duck Duck Goose,5.7,91.0
37 Seconds,7.4,115.0
Who Would You Take to a Deserted Island?,5.3,93.0
Close Enemies,6.4,111.0
Nothing to Lose,6.6,98.0
Handsome: A Netflix Mystery Movie,5.2,80.0
Dave Chappelle: Sticks & Stones,8.4,65.0
The Incident,6.3,107.0
Amateur,5.9,96.0
The Guest House,3.5,82.0
The Silence of the Marsh,5.0,92.0
My Suicide,7.0,107.0
The Awakening of Motti Wolkenbruch,6.6,94.0
Bon Cop Bad Cop,6.7,116.0
Christmas with a View,5.1,91.0
American Son,5.8,90.0
Deadly Switch,4.5,97.0
Smosh: The Movie,3.2,84.0
Burn Out,6.2,107.0
Monsoon,6.0,85.0
Into the Inferno,7.2,104.0
Berlin Calling,7.2,100.0
The Cursed,7.1,60.0
A Christmas Prince: The Royal Baby,5.4,84.0
Howl,6.6,92.0
Bad Seeds,7.3,100.0
XOXO,5.3,92.0
The Perfect Dictatorship,7.2,143.0
Avicii: True Stories,7.6,97.0
Preservation,4.8,90.0
Divines,7.4,105.0
Budapest,5.4,102.0
Despite Everything,5.4,78.0
Smoke & Mirrors,6.8,123.0
A Very Murray Christmas,5.5,56.0
Marco Polo: One Hundred Eyes,7.7,28.0
Once Again,8.4,101.0
Sun Dogs,6.2,94.0
He Walked by Night,7.1,79.0
The Motive,6.5,112.0
Shéhérazade,7.1,101.0
Gridlocked,5.8,110.0
Lu Over the Wall,6.8,112.0
The Jurassic Games,3.8,86.0
Candy Jar,5.8,92.0
Sad Hill Unearthed,7.4,86.0
Soni,7.1,110.0
The Kitchen,5.0,102.0
Virunga,8.2,100.0
Barbie: Dolphin Magic,5.6,63.0
23:59,4.5,78.0
The Fury of a Patient Man,6.7,92.0
Hangman,4.6,98.0
Ashby,6.4,100.0
100 Meters,7.5,108.0
The Barkley Marathons: The Race That Eats Its Young,7.7,89.0
Airplane Mode,5.1,80.0
Force 2,6.2,127.0
Come Sunday,6.0,106.0
Christmas Wedding Planner,4.3,86.0
Jinn,3.4,97.0
Long Shot,7.4,125.0
In Family I Trust,6.2,97.0
Drive,3.1,100.0
Love Aaj Kal,4.7,142.0
Forks Over Knives,7.7,96.0
Rocky Handsome,6.8,119.0
Let's Dance,5.9,104.0
Long Nights Short Mornings,5.4,100.0
Advantageous,6.1,90.0
Clair Obscur,6.4,105.0
Chicago Overcoat,5.9,94.0
Eden,6.6,131.0
Undefeated,7.7,113.0
The Devil and Father Amorth,4.6,68.0
Mercy,4.1,108.0
Imperfect,7.8,113.0
Any Day Now,7.4,60.0
Adam Sandler: 100% Fresh,7.5,73.0
Violet Evergarden: Eternity and the Auto Memory Doll,7.4,90.0
Heartbeats,5.3,101.0
The Bloodstained Butterfly,6.3,99.0
A Secret Love,7.8,81.0
A Christmas Prince: The Royal Wedding,5.3,92.0
Middle of Nowhere,6.5,95.0
Life,7.5,104.0
Imperial Dreams,6.7,87.0
Mohawk,4.7,91.0
I'll Be Home for Christmas,6.1,86.0
Ricky Gervais: Humanity,7.9,79.0
Eating Out: The Open Weekend,5.4,82.0
Sundown,5.3,103.0
The Warning,5.9,92.0
Take Your Pills,6.3,87.0
Life Itself,7.8,117.0
Kevin Hart: What Now?,5.9,96.0
The Battered Bastards of Baseball,8.0,80.0
Alien Warfare,2.6,88.0
No Way Out,6.7,114.0
Melancholia,7.3,135.0
The Golem,5.5,95.0
Ali's Wedding,6.9,110.0
My Happy Family,7.4,120.0
Good Sam,5.7,89.0
King Jack,6.9,81.0
Earth and Blood,5.2,80.0
